"lang"
{
	"Language"		"English"
		"DOTA_Tooltip_ability_axe_counter_helix_lua_shard_damage_reduction"			"%ATTACK REDUCTION:"
		"DOTA_Tooltip_ability_axe_counter_helix_lua_shard_max_stacks"				"MAX STACKS:"
		
		
		"DOTA_Tooltip_ability_phantom_assassin_stifling_dagger_nb2017"	"Stifling Dagger(New Bloom)"
		"DOTA_Tooltip_ability_phantom_assassin_stifling_dagger_nb2017_Description"	"Throws a flurry of daggers at the area around the target point, each one hitting the first unit in its path. The daggers slow enemy movement speed, and deal %base_damage%+%attack_factor_tooltip%%% of Phantom Assassin's attack damage as physical damage and applying attack effects from items and abilities."
		"DOTA_Tooltip_ability_phantom_assassin_stifling_dagger_nb2017_Note0"		"If an attack effect is chance-based, the chance of its application will be the same as its chance to occur."
		"DOTA_Tooltip_ability_phantom_assassin_stifling_dagger_nb2017_Lore""The first skill learned by the Sisters of the Veil often signals an incoming hit."
		"DOTA_Tooltip_ability_phantom_assassin_stifling_dagger_nb2017_move_slow"	"%MOVE SLOW:"
		"DOTA_Tooltip_ability_phantom_assassin_stifling_dagger_nb2017_duration"		"SLOW DURATION:"
		"DOTA_Tooltip_ability_phantom_assassin_stifling_dagger_nb2017_base_damage"	"BASE DAMAGE:"
		"DOTA_Tooltip_ability_phantom_assassin_stifling_dagger_nb2017_attack_factor_tooltip"	"%ATTACK DAMAGE:"
		"DOTA_Tooltip_ability_phantom_assassin_stifling_dagger_nb2017_dagger_count"	"DAGGER COUNT:"
		"DOTA_Tooltip_ability_phantom_assassin_stifling_dagger_nb2017_dagger_range"	"DAGGER RANGE:"
		
		"DOTA_Tooltip_ability_necrolyte_reapers_scythe_datadriven""Reaper's Scythe"
		"DOTA_Tooltip_ability_necrolyte_reapers_scythe_datadriven_Description""Stuns the target enemy , then deals damage based on how much life it is missing. Heroes killed by Reaper's Scythe will have %respawn_constant% seconds added to their respawn timer. Any kill under this effect is credited to Necrophos.\n\nUpgradable by Aghanim's Scepter."
		"DOTA_Tooltip_ability_necrolyte_reapers_scythe_datadriven_Lore"	"The amount of death and suffering in the air increases the power of Necrophos's plague magic."
		"DOTA_Tooltip_ability_necrolyte_reapers_scythe_datadriven_Note0"	"Damage is dealt at the end of the stun."
		"DOTA_Tooltip_ability_necrolyte_reapers_scythe_datadriven_Note1"	"The stun goes through spell immunity, but not the damage."
		"DOTA_Tooltip_ability_necrolyte_reapers_scythe_datadriven_damage_per_health"	"DAMAGE PER MISSING HP:"
		"DOTA_Tooltip_ability_necrolyte_reapers_scythe_datadriven_stun_duration"		"STUN DURATION:"
		"DOTA_Tooltip_ability_necrolyte_reapers_scythe_datadriven_mana_cost_scepter"	"SCEPTER MANA COST:"
		"DOTA_Tooltip_ability_necrolyte_reapers_scythe_datadriven_cooldown_scepter" 	"SCEPTER COOLDOWN:"
		"DOTA_Tooltip_ability_necrolyte_reapers_scythe_datadriven_damage_per_health_scepter"		"SCEPTER DAMAGE PER MISSING HP:"
		"DOTA_Tooltip_ability_necrolyte_reapers_scythe_datadriven_aghanim_description"	"Increases damage per HP missing, decreases mana cost for Level 1, and decreases cooldown for levels 1 and 2.Units killed by Reaper's Scythe cannot buyback."
		
		"DOTA_Tooltip_ability_frostivus2018_clinkz_searing_arrows"	"Searing Arrows [Frosthaven]"
		"DOTA_Tooltip_ability_frostivus2018_clinkz_searing_arrows_Description"	"Imbues Clinkz's arrows with fire for extra damage <font color='#70EA72'>and applies spill damage to enemies behind the target</font>."
		"DOTA_Tooltip_ability_frostivus2018_clinkz_searing_arrows_Lore""Clinkz simply lights his arrows from his flaming essence for quite the destructive effect."
		"DOTA_Tooltip_ability_frostivus2018_clinkz_searing_arrows_Note0"		"Searing Arrows deal damage to structures."
		"DOTA_Tooltip_ability_frostivus2018_clinkz_searing_arrows_Note1"		"The damage is directly added to Clinkz' attack damage, as physical damage."
		"DOTA_Tooltip_ability_frostivus2018_clinkz_searing_arrows_damage_bonus"	"BONUS DAMAGE:"
		"DOTA_Tooltip_ability_frostivus2018_clinkz_searing_arrows_attack_spill_range"		"SPILL ATTACK RANGE:"
		"DOTA_Tooltip_ability_frostivus2018_clinkz_searing_arrows_attack_spill_width"		"SPILL ATTACK WIDTH:"
		"DOTA_Tooltip_ability_frostivus2018_clinkz_searing_arrows_spill_damage_multiplier"	"SPILL DAMAGE MULTIPLIER:"
		
		"DOTA_Tooltip_ability_frostivus2018_clinkz_wind_walk""Skeleton Walk [Frosthaven]"
		"DOTA_Tooltip_ability_frostivus2018_clinkz_wind_walk_Description""Clinkz moves invisibly through units until the moment he attacks or uses an ability. <font color='#70EA72'>When he moves through a unit, he temporarily steals a portion of its attack damage.</font>"
		"DOTA_Tooltip_ability_frostivus2018_clinkz_wind_walk_Lore"		"With a burst of fire and puff of smoke, the Bone Fletcher was nowhere to be seen."
		"DOTA_Tooltip_ability_frostivus2018_clinkz_wind_walk_Note0"		"Will not break most channeling of spells or items upon activation."
		"DOTA_Tooltip_ability_frostivus2018_clinkz_wind_walk_Note1"		"Has a fadetime of 0.6 seconds."
		"DOTA_Tooltip_ability_frostivus2018_clinkz_wind_walk_duration"	"DURATION:"
		"DOTA_Tooltip_ability_frostivus2018_clinkz_wind_walk_move_speed_bonus_pct"	"%BONUS MOVEMENT SPEED:"
		"DOTA_Tooltip_ability_frostivus2018_clinkz_wind_walk_attack_steal_duration"	"ATTACK STEAL DURATION:"
		"DOTA_Tooltip_ability_frostivus2018_clinkz_wind_walk_bonus_base_dmg_per_stack"	"ATTACK DMG PER STACK:"
		"DOTA_Tooltip_ability_frostivus2018_clinkz_wind_walk_max_stacks""MAX STACKS:"
		
		"DOTA_Tooltip_ability_death_pact_datadriven"	"Death Pact"
		"DOTA_Tooltip_ability_death_pact_datadriven_Description"	"Clinkz consumes the target friendly or enemy creep, gaining a percent of its hitpoints as max health and damage. \n<font color='#FF7800'>Based on normal mode monster HP.</font> \n<font color='#FF7800'>Every round reduce 5% current power.</font>"
		"DOTA_Tooltip_ability_death_pact_datadriven_Lore""Sutherex' bond of life and death has become a part of Clinkz, and his old bones are refreshed with repetition of the pact on lesser beings."
		"DOTA_Tooltip_ability_death_pact_datadriven_Note0""If the target is an enemy, Clinkz will gain the correct experience and gold."
		"DOTA_Tooltip_ability_death_pact_datadriven_Note1""Increases Clinkz' current and max HP."
		"DOTA_Tooltip_ability_death_pact_datadriven_Note2""When the duration ends, max HP returns to normal, but current HP stays the same."
		"DOTA_Tooltip_ability_death_pact_datadriven_duration"		"DURATION:"
		"DOTA_Tooltip_ability_death_pact_datadriven_health_gain_pct""%HEALTH GAIN:"
		"DOTA_Tooltip_ability_death_pact_datadriven_damage_gain_pct""%DAMAGE GAIN:"
		
		"DOTA_Tooltip_ability_pugna_ward_winter_2018"	"Saprophytic Ward [Frosthaven]"
		"DOTA_Tooltip_ability_pugna_ward_winter_2018_Description"	"Pugna places a Saprophytic Ward at the target location. Heals allies whenever they spend mana."
		"DOTA_Tooltip_ability_pugna_ward_winter_2018_aura_radius"	"AURA RADIUS:"
		"DOTA_Tooltip_ability_pugna_ward_winter_2018_mana_multiplier""HEAL PER MANA:"
		"DOTA_Tooltip_ability_pugna_ward_winter_2018_aura_mana_regen"	"AURA MANA REGEN:"
		"DOTA_Tooltip_ability_pugna_ward_winter_2018_ward_duration"	"WARD DURATION:"
		"npc_dota_pugna_ward_winter_2018""Saprophytic Ward"
		"DOTA_Tooltip_modifier_pugna_ward_winter_2018_effect""Saprophytic Ward"
		
		"DOTA_Tooltip_ability_dark_seer_wall_of_replica_nb2017"		"Wall of Replica(Dark Moon)"
		"DOTA_Tooltip_ability_dark_seer_wall_of_replica_nb2017_Description"		"Raises a wall of warping light that slows and creates replicas of any <font color='#70EA72'>enemy unit</font> who crosses it. Enemy replicas serve at the Dark Seer's will. <font color='#70EA72'>Dark Seer may only have one copy an individual enemy unit at a time.</font> Replicas last until they are destroyed, or until the wall's duration ends.\n\nUpgradable by Aghanim's Scepter."
		"DOTA_Tooltip_ability_dark_seer_wall_of_replica_Lore"	"The Dark Seer, while unable to return to his natural realm, can channel part of the prismatic wall with powerful strength of mind, sowing confusion amongst enemy ranks."
		"DOTA_Tooltip_ability_dark_seer_wall_of_replica_nb2017_Note0"	"Doesn't create illusions from other illusions, or Meepo clones."
		"DOTA_Tooltip_ability_dark_seer_wall_of_replica_nb2017_Note1"	"Creates a wall 1000 units long, perpendicular to the line between Dark Seer and the target point."
		"DOTA_Tooltip_ability_dark_seer_wall_of_replica_nb2017_duration""WALL DURATION:"
		"DOTA_Tooltip_ability_dark_seer_wall_of_replica_nb2017_tooltip_outgoing"	"%REPLICA DAMAGE:"
		"DOTA_Tooltip_ability_dark_seer_wall_of_replica_nb2017_tooltip_replica_total_damage_incoming"		"%REPLICA DAMAGE TAKEN:"
		"DOTA_Tooltip_ability_dark_seer_wall_of_replica_nb2017_range_tooltip"		"CAST RANGE:"
		"DOTA_Tooltip_ability_dark_seer_wall_of_replica_nb2017_tooltip_outgoing_scepter"		"%SCEPTER REPLICA DAMAGE:"
		"DOTA_Tooltip_ability_dark_seer_wall_of_replica_nb2017_movement_slow"		"%MOVEMENT SLOW:"
		"DOTA_Tooltip_ability_dark_seer_wall_of_replica_nb2017_slow_duration"		"SLOW DURATION:"
		
		"DOTA_Tooltip_ability_invoker_cold_snap_lua""Cold Snap"
		"DOTA_Tooltip_ability_invoker_cold_snap_lua_Description""Invoker draws the heat from an enemy, chilling them to their very core for a duration. The enemy will take damage and be briefly frozen. Further damage taken in this state will freeze the enemy again, dealing bonus damage. The enemy can only be frozen so often, but the freeze cooldown decreases."
		"DOTA_Tooltip_ability_invoker_cold_snap_lua_Lore""Sadron's Protracted Frisson."
		"DOTA_Tooltip_ability_invoker_cold_snap_lua_Note0""The freeze stun only triggers on damage greater than 10 after reductions."
		"DOTA_Tooltip_ability_invoker_cold_snap_lua_duration""COLD SNAP DURATION:"
		"DOTA_Tooltip_ability_invoker_cold_snap_lua_freeze_duration""FREEZE DURATION:"
		"DOTA_Tooltip_ability_invoker_cold_snap_lua_freeze_damage""FREEZE DAMAGE:"
		"DOTA_Tooltip_ability_invoker_cold_snap_lua_freeze_cooldown""FREEZE COOLDOWN:"
		
		"DOTA_Tooltip_ability_invoker_ghost_walk_lua"		"Ghost Walk"
		"DOTA_Tooltip_ability_invoker_ghost_walk_lua_Description"	"Invoker manipulates the ice and electrical energies around him, rendering his body invisible. The elemental imbalance created as a consequence slows nearby enemies."
		"DOTA_Tooltip_ability_invoker_ghost_walk_lua_self_slow"		"%SELF SPEED:"
		"DOTA_Tooltip_ability_invoker_ghost_walk_lua_duration"		"DURATION:"
		"DOTA_Tooltip_ability_invoker_ghost_walk_lua_area_of_effect"		"RADIUS:"
		"DOTA_Tooltip_ability_invoker_ghost_walk_lua_enemy_slow"	"%ENEMY SLOW:"
		"DOTA_Tooltip_modifier_invoker_ghost_walk_lua_self"	"Ghost Walk"
		"DOTA_Tooltip_modifier_invoker_ghost_walk_lua_self_Description"	"Invisible, movement speed changed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, and slowing nearby enemies."
		"DOTA_Tooltip_modifier_invoker_ghost_walk_lua_enemy""Ghost Walk"
		"DOTA_Tooltip_modifier_invoker_ghost_walk_lua_enemy_Description""Near a ghost! Slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
		"DOTA_Tooltip_ability_invoker_ghost_walk_lua_Lore"	"Myrault's Hinder-Gast."
		"DOTA_Tooltip_ability_invoker_ghost_walk_lua_Note0"	"The slow effect does not work on Spell Immune enemies."
		
		"DOTA_Tooltip_ability_invoker_tornado_lua""Tornado"
		"DOTA_Tooltip_ability_invoker_tornado_lua_Description""Unleashes a fast moving tornado that picks up enemy units in its path, suspending them helplessly in the air shortly before allowing them to plummet to their doom. Travels further. Holds enemies in the air for a duration. Deals damage."
		"DOTA_Tooltip_ability_invoker_tornado_lua_Lore""Claws of Tornarus."
		"DOTA_Tooltip_ability_invoker_tornado_lua_Note0""Units are invulnerable while affected by Tornado, and the damage is dealt when landing."
		"DOTA_Tooltip_ability_invoker_tornado_lua_travel_distance""TRAVEL DISTANCE:"
		"DOTA_Tooltip_ability_invoker_tornado_lua_area_of_effect""RADIUS:"
		"DOTA_Tooltip_ability_invoker_tornado_lua_lift_duration""LIFT TIME:"
		"DOTA_Tooltip_ability_invoker_tornado_lua_base_damage""DAMAGE:"
		
		"DOTA_Tooltip_ability_invoker_emp_lua""EMP"
		"DOTA_Tooltip_ability_invoker_emp_lua_Description""Invoker builds up a charge of electromagnetic energy at a targeted location which automatically detonates after %delay% seconds. The detonation covers an area, draining mana. Deals damage for each point of mana drained.If EMP drains mana from an enemy hero, Invoker gains 50%% of the mana drained."
		"DOTA_Tooltip_ability_invoker_emp_lua_Lore""Endoleon's Malevolent Perturbation."
		"DOTA_Tooltip_ability_invoker_emp_lua_Note0""Will not affect cycloned units (Tornado or Eul's Scepter of Divinity)."
		"DOTA_Tooltip_ability_invoker_emp_lua_delay""CHARGE TIME:"
		"DOTA_Tooltip_ability_invoker_emp_lua_area_of_effect""RADIUS:"
		"DOTA_Tooltip_ability_invoker_emp_lua_mana_burned""MAX MANA BURNED:\n"
		"DOTA_Tooltip_ability_invoker_emp_lua_damage_per_mana_pct""%BURN DAMAGE:"
		
		"DOTA_Tooltip_ability_invoker_alacrity_lua""Alacrity"
		"DOTA_Tooltip_ability_invoker_alacrity_lua_Description""Invoker infuses an ally with an immense surge of energy, increasing their attack speed and their damage."
		"DOTA_Tooltip_ability_invoker_alacrity_lua_Lore""Gaster's Mandate of Impetuous Strife."
		"DOTA_Tooltip_ability_invoker_alacrity_lua_bonus_attack_speed""BONUS ATTACK SPEED:\n"
		"DOTA_Tooltip_ability_invoker_alacrity_lua_bonus_damage""BONUS DAMAGE:\n"
		"DOTA_Tooltip_ability_invoker_alacrity_lua_duration""DURATION:"
		
		"DOTA_Tooltip_ability_invoker_chaos_meteor_lua""Chaos Meteor"
		"DOTA_Tooltip_ability_invoker_chaos_meteor_lua_shard_description""Causes two extra Chaos Meteors to land alongside the primary cast at slight angles. Reduces cooldown by 6 seconds."
		"DOTA_Tooltip_ability_invoker_chaos_meteor_lua_Description""Invoker pulls a flaming meteor from space onto the targeted location. Upon landing, the meteor rolls forward, constantly dealing damage, and rolling further. Units hit by the meteor will also be set on fire for a short time, receiving additional damage."
		"DOTA_Tooltip_ability_invoker_chaos_meteor_lua_Lore""Tarak's Descent of Fire."
		"DOTA_Tooltip_ability_invoker_chaos_meteor_lua_Note0""Deals main damage to enemy units under meteor every 0.5 seconds and burns enemies for smaller damage over 3 seconds."
		"DOTA_Tooltip_ability_invoker_chaos_meteor_lua_Note1""The meteor moves at a speed of 300."
		"DOTA_Tooltip_ability_invoker_chaos_meteor_lua_land_time""IMPACT DELAY:"
		"DOTA_Tooltip_ability_invoker_chaos_meteor_lua_area_of_effect""RADIUS:"
		"DOTA_Tooltip_ability_invoker_chaos_meteor_lua_travel_distance""TRAVEL DISTANCE:\n"
		"DOTA_Tooltip_ability_invoker_chaos_meteor_lua_main_damage""CONTACT DAMAGE:\n"
		"DOTA_Tooltip_ability_invoker_chaos_meteor_lua_damage_interval""CONTACT DAMAGE TICK:"
		"DOTA_Tooltip_ability_invoker_chaos_meteor_lua_burn_duration""BURN DURATION:"
		"DOTA_Tooltip_ability_invoker_chaos_meteor_lua_burn_dps""BURN DAMAGE PER SECOND:\n"
		
		"DOTA_Tooltip_ability_invoker_forge_spirit_lua""Forge Spirit"
		"DOTA_Tooltip_ability_invoker_forge_spirit_lua_Description""Invoker forges a spirit embodying the strength of fire and fortitude of ice. Damage, health, and armor are while attack range, mana, and duration are. The elemental's scorching attack is capable of melting the armor of enemy heroes."
		"DOTA_Tooltip_ability_invoker_forge_spirit_lua_lod_Lore""Culween's Most Cunning Fabrications."
		"DOTA_Tooltip_ability_invoker_forge_spirit_lua_Note0""Casting this abiliy will replace currently summoned Forged Spirits."
		"DOTA_Tooltip_ability_invoker_forge_spirit_lua_spirit_damage""DAMAGE:"
		"DOTA_Tooltip_ability_invoker_forge_spirit_lua_spirit_hp""HEALTH:"
		"DOTA_Tooltip_ability_invoker_forge_spirit_lua_spirit_armor""ARMOR:"
		"DOTA_Tooltip_ability_invoker_forge_spirit_lua_spirit_attack_range""ATTACK RANGE:"
		"DOTA_Tooltip_ability_invoker_forge_spirit_lua_spirit_duration""DURATION:"
		
		"DOTA_Tooltip_ability_invoker_ice_wall_lod""Ice Wall"
		"DOTA_Tooltip_ability_invoker_ice_wall_lod_Description""Generates a wall of solid ice directly in front of Invoker for a duration. The bitter cold emanating from it greatly slows nearby enemies and deals damage each second.<br><br><font color=\"#FF4949\">Warning:</font> Aghanim's Scepter will lock this ability to its level 1 version.<br>"
		"DOTA_Tooltip_ability_invoker_ice_wall_lod_Lore""Killing Wall of Koryx."
		"DOTA_Tooltip_ability_invoker_ice_wall_lod_Note0""The slow will still affect magic immune enemies if their magic immunity was created after being affected by Ice Wall."
		"DOTA_Tooltip_ability_invoker_ice_wall_lod_duration""WALL DURATION:\n"
		"DOTA_Tooltip_ability_invoker_ice_wall_lod_slow""%MOVEMENT SLOW:\n"
		"DOTA_Tooltip_ability_invoker_ice_wall_lod_slow_duration""SLOW DURATION:"
		"DOTA_Tooltip_ability_invoker_ice_wall_lod_damage_per_second""DAMAGE PER SECOND:\n"
		
		"DOTA_Tooltip_modifier_imba_essence_aura_buff"		"Essence Aura"
		"DOTA_Tooltip_modifier_imba_essence_aura_buff_Description""Casting a spell will recover part of your total mana"
		"DOTA_Tooltip_ability_obsidian_destroyer_essence_aura_datadriven"		"Essence Aura"
		"DOTA_Tooltip_ability_obsidian_destroyer_essence_aura_datadriven_Description""Whenever Outworld Devourer or his nearby allies casts a spell, it restores a percentage of its mana pool."
		"DOTA_Tooltip_ability_obsidian_destroyer_essence_aura_datadriven_Lore"		"The crystals of the Outworld produce arcane power, and the Harbinger channels it into the world of mortals."
		"DOTA_Tooltip_ability_obsidian_destroyer_essence_aura_datadriven_restore_amount"		"%RESTORE MANA:"
		"DOTA_Tooltip_ability_obsidian_destroyer_essence_aura_datadriven_bonus_mana""EXTRA MANA:"
		"DOTA_Tooltip_ability_obsidian_destroyer_essence_aura_datadriven_radius"	"AURA RADIUS:"
		"DOTA_Tooltip_ability_obsidian_destroyer_essence_aura_datadriven_restore_chance"		"%RESTORE CHANCE:"
		
		"DOTA_Tooltip_ability_frostivus2018_dark_willow_bedlam"	"Bedlam [Frosthaven]"
		"DOTA_Tooltip_ability_frostivus2018_dark_willow_bedlam_Description"	"Dark Willow's pet wisp roams around her for the duration, rapidly attacking nearby enemies. <font color='#70EA72'>Every attack bounces to additional targets around the targeted enemy.</font> Bedlam cannot be used while Terrorize is active."
		"DOTA_Tooltip_ability_frostivus2018_dark_willow_bedlam_Lore" 	"You'll have to excuse my friend Jex. He's really into murder."
		"DOTA_Tooltip_ability_frostivus2018_dark_willow_bedlam_attack_damage"	"ATTACK DAMAGE:"
		"DOTA_Tooltip_ability_frostivus2018_dark_willow_bedlam_attack_interval"	"ATTACK INTERVAL:"
		"DOTA_Tooltip_ability_frostivus2018_dark_willow_bedlam_attack_radius"	"ATTACK RADIUS:"
		"DOTA_Tooltip_ability_frostivus2018_dark_willow_bedlam_attack_targets"	"ATTACK TARGETS:"
		"DOTA_Tooltip_ability_frostivus2018_dark_willow_bedlam_roaming_radius"	"ROAMING RADIUS:"
		"DOTA_Tooltip_ability_frostivus2018_dark_willow_bedlam_roaming_duration"	"ROAMING DURATION:"
		"DOTA_Tooltip_ability_frostivus2018_dark_willow_bedlam_secondary_targets"	"SECONDARY TARGETS:"
		
		"DOTA_Tooltip_modifier_hero_refreshing""Fountain Aura"
		"DOTA_Tooltip_modifier_hero_refreshing_Description""Invulnerable. Increase health and mana regen speed. Increase ability cooldown speed by 100%%."
		
		"DOTA_Tooltip_modifier_creature_berserk""Berserk"
		"DOTA_Tooltip_modifier_creature_berserk_Description""Round time expired. Creature grant bounus speed and damage. Attack will tear enemy armor."
		
		"DOTA_Tooltip_ability_item_recipe_kaya_2_lua""Sky Staff Recipe"
		"DOTA_Tooltip_ability_item_kaya_2_lua""Sky Staff"
		"DOTA_Tooltip_ability_item_kaya_2_lua_Description""<h1>Passive：Sky Staff</h1>Every Intelligence provide %spell_amplify%%% Spell Amplification<br><br>Has no effect on percentage-based damage spells. <br><br>Only 20%% effectiveness on other heroes in duels. "
		"DOTA_Tooltip_ability_item_kaya_2_lua_bonus_int""+$int"
		"DOTA_Tooltip_ability_item_kaya_2_lua_manacost_reduction""%+Manacost and Manaloss Reduction"
		"DOTA_Tooltip_ability_item_kaya_2_lua_mana_regen_multiplier""%+Mana Regen Amplification"
		
		"DOTA_Tooltip_ability_item_recipe_kaya_3_lua""Force of Star Recipe"
		"DOTA_Tooltip_ability_item_kaya_3_lua""Force of Star"
		"DOTA_Tooltip_ability_item_kaya_3_lua_Description""<h1>Force of Star</h1>Every Intelligence provide %spell_amplify%%% Spell Amplification<br><br>Has no effect on percentage-based damage spells. <br><br>Only 20%% effectiveness on other heroes in duels. "
		"DOTA_Tooltip_ability_item_kaya_3_lua_bonus_int""+$int"
		"DOTA_Tooltip_ability_item_kaya_3_lua_manacost_reduction""%+Manacost and Manaloss Reduction"
		"DOTA_Tooltip_ability_item_kaya_3_lua_mana_regen_multiplier""%+Mana Regen Amplification"
		
		"npc_dota_kobold""Kobold"
		"npc_dota_kobold_tunneler"	"Kobold Soldier"
		"npc_dota_kobold_taskmaster""Kobold Foreman"
		"npc_dota_centaur_outrunner""Centaur Courser"
		"npc_dota_centaur_khan"		"Centaur Conqueror"
		"npc_dota_fel_beast"		"Fell Spirit"
		"npc_dota_polar_furbolg_champion"		"Hellbear"
		"npc_dota_polar_furbolg_ursa_warrior"	"Hellbear Smasher"
		"npc_dota_mud_golem"		"Mud Golem"
		"npc_dota_mud_golem_split"	"Shard Golem"
		"npc_dota_mud_golem_split_doom""Doom Shard"
		"npc_dota_ogre_mauler"		"Ogre Bruiser"
		"npc_dota_ogre_magi"		"Ogre Frostmage"
		"npc_dota_giant_wolf"		"Giant Wolf"
		"npc_dota_alpha_wolf"		"Alpha Wolf"
		"npc_dota_wildkin""Wildwing"
		"npc_dota_enraged_wildkin"	"Wildwing Ripper"
		"npc_dota_satyr_soulstealer""Satyr Mindstealer"
		"npc_dota_satyr_hellcaller"	"Satyr Tormenter"
		"npc_dota_satyr_trickster"	"Satyr Banisher"
		"npc_dota_jungle_stalker"	"Ancient Stalker"
		"npc_dota_elder_jungle_stalker""Ancient Primal Stalker"
		"npc_dota_prowler_acolyte"	"Ancient Prowler Acolyte"
		"npc_dota_prowler_shaman"	"Ancient Prowler Shaman"
		"npc_dota_rock_golem"		"Ancient Rock Golem"
		"npc_dota_granite_golem"	"Ancient Granite Golem"
		"npc_dota_big_thunder_lizard""Ancient Thunderhide"
		"npc_dota_small_thunder_lizard""Ancient Rumblehide"
		"npc_dota_black_drake"		"Ancient Black Drake"
		"npc_dota_black_dragon"		"Ancient Black Dragon"
		"npc_dota_gnoll_assassin"	"Vhoul Assassin"
		"npc_dota_ghost""Ghost"
		"npc_dota_dark_troll"		"Hill Troll"
		"npc_dota_dark_troll_warlord""Dark Troll Summoner"
		"npc_dota_forest_troll_berserker"		"Hill Troll Berserker"
		"npc_dota_forest_troll_high_priest"		"Hill Troll Priest"
		"npc_dota_harpy_scout"		"Harpy Scout"
		"npc_dota_harpy_storm"		"Harpy Stormcrafter"
		"npc_dota_skeleton""Skeleton"
		"npc_dota_crocodilian""Crocodilian"
		"npc_dota_crocodilian_ranged""Crocodilian Mage"
		"npc_dota_chameleon""Chameleon"
		"npc_dota_chameleon_ranged""Chameleon Mage"
		"npc_dota_greevil""Greevil"
		"npc_dota_roshan""Roshan"
		
		"DOTA_Tooltip_ability_frostbitten_icicle""Frostbitten Icicle"
		"DOTA_Tooltip_ability_frostbitten_icicle_Description""Blasts the target enemy unit with damaging frost, dealing area damage and freeze movement."
		"DOTA_Tooltip_ability_frostbitten_icicle_radius""Radius:"
		"DOTA_Tooltip_ability_frostbitten_icicle_freeze_duration""Frozen Duration"
		"npc_dota_frostbitten_gaint""Frostbitten Giant"
		"npc_dota_frostbitten_mage""Frostbitten Mage"
		"npc_dota_ogre_warlord""Ogre Warlord"
		"DOTA_Tooltip_ability_creature_ogre_jump_smash""Jump Smash"
		"DOTA_Tooltip_ability_creature_ogre_jump_smash_Description""Jump and smash stun and damage enemies."
		"DOTA_Tooltip_ability_creature_ogre_jump_smash_impact_radius""Radius:"
		"DOTA_Tooltip_ability_creature_ogre_jump_smash_stun_duration""Duration:"
		"npc_dota_ogreseal_big""Large Ogre Seal"
		"npc_dota_ogreseal""Ogre Seal"
		
		"DOTA_Tooltip_ability_creature_ogreseal_flop""Ogreseal Flop"
		"DOTA_Tooltip_ability_creature_ogreseal_flop_Description""Flop forward, doing damage and stunning for %stun_duration% second on each bounce."
		"DOTA_Tooltip_ability_item_book_of_strength""Book of Strength"
		"DOTA_Tooltip_ability_item_book_of_strength_Description""Consume to gain 3 Strength permanently."
		"DOTA_Tooltip_ability_item_book_of_agility"	"Book of Agility"
		"DOTA_Tooltip_ability_item_book_of_agility_Description"	"Consume to gain 3 Agility permanently."
		"DOTA_Tooltip_ability_item_book_of_intelligence"		"Book of Intelligence"
		"DOTA_Tooltip_ability_item_book_of_intelligence_Description"		"Consume to gain 3 Intelligence permanently."
		
		"DOTA_Tooltip_modifier_book_of_strength"	"Book of Strength"
		"DOTA_Tooltip_modifier_book_of_strength_Description"	"Strength gained from consumed Books."
		"DOTA_Tooltip_modifier_book_of_agility"		"Book of Agility"
		"DOTA_Tooltip_modifier_book_of_agility_Description"		"Agility gained from consumed Books."
		"DOTA_Tooltip_modifier_book_of_intelligence"		 	"Book of Intelligence"
		"DOTA_Tooltip_modifier_book_of_intelligence_Description"		"Intelligence gained from consumed Books."
		"DOTA_Tooltip_modifier_creature_berserk_debuff""Tear Armor"
		"DOTA_Tooltip_modifier_creature_berserk_debuff_Description""Each layer reduce 1 point of armor."
		"cheat_no_record""Cheat mode will not recored world rank."
		
		"DOTA_Tooltip_ability_necrolyte_heartstopper_aura_lua""Heartstopper Aura"
		"DOTA_Tooltip_ability_necrolyte_heartstopper_aura_lua_Description""Necrophos stills the hearts of his opponents, causing nearby enemy units to lose a percentage of their max health over time. Passively provides regen for %regen_duration% seconds for each unit Necrophos kills."
		"DOTA_Tooltip_ability_necrolyte_heartstopper_aura_lua_aura_radius""RADIUS:"
		"DOTA_Tooltip_ability_necrolyte_heartstopper_aura_lua_aura_damage""%HEALTH DECAY:"
		"DOTA_Tooltip_modifier_necrolyte_heartstopper_aura_lua_effect""Heartstopper Aura"
		"DOTA_Tooltip_modifier_necrolyte_heartstopper_aura_lua_effect_Description""Losing a percentage of health every second while near Necrophos."
		"DOTA_Tooltip_ability_necrolyte_heartstopper_aura_lua_Lore""Those who come within a short distance of Necrophos can feel pestilence and plague in the air."
		"DOTA_Tooltip_ability_necrolyte_heartstopper_aura_lua_Note0""Damage won't disable items like Blink Dagger."
		"DOTA_Tooltip_ability_necrolyte_heartstopper_aura_lua_Note1""Does not affect ancient neutral creature."
		"DOTA_Tooltip_ability_necrolyte_heartstopper_aura_lua_aghanim_description""Increases Heartstopper Aura damage while Ghost Shroud is active."
		"DOTA_Tooltip_ability_necrolyte_heartstopper_aura_lua_scepter_multiplier""SCEPTER DAMAGE MULTIPLIER:"
		
		"DOTA_Tooltip_modifier_necrolyte_heartstopper_aura_lua""Heartstopper Aura"
